id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Hype Cycle,Metro Verse,hip-hop,hyped,0.88,95,0.72,0.85,0.08
12,Dust Road Anthem,Cassidy Hale,country,nostalgic,0.55,112,0.48,0.52,0.42
13,Moonlight Sonata Redux,Vienna Keys,classical,serene,0.22,65,0.55,0.28,0.95
14,Iron Foundry,Ashen Throne,metal,aggressive,0.96,168,0.35,0.42,0.02
15,Sunbeam Skank,Island Echo,reggae,grooving,0.62,85,0.78,0.74,0.35
16,Harbor Lanterns,The Wild Ferns,folk,reflective,0.33,98,0.52,0.48,0.88
17,Velvet Hours,Kai Monroe,R&B,romantic,0.48,102,0.62,0.68,0.25
18,Pulse District,DJ Halcyon,house,euphoric,0.89,128,0.88,0.92,0.12
19,Whiskey Pages,Marcus Kingfisher,blues,melancholic,0.38,76,0.28,0.44,0.72
20,Safety Pin Heart,Riot Brigade,punk,defiant,0.84,180,0.55,0.58,0.15
21,I Ain't Worried,OneRepublic,pop,happy,0.85,140,0.92,0.82,0.15
